,log2FC,symbol
7443,2.4696053604999992,VRK1
65267,2.462426249000001,WNK3
8735,2.450390456249999,MYH13
3397,2.4493178862500002,ID1
4172,2.4381916647500024,MCM3
79192,2.43111399775,IRX1
79866,2.4197332522500004,BORA
4121,2.417284541250001,MAN1A1
340719,2.3981105007499997,NANOS1
79870,2.392999363,BAALC
4626,2.38666626175,MYH8
10551,2.386384225249999,AGR2
55274,2.3791480624999997,PHF10
29106,2.3779810127500003,SCG3
158376,2.36721229875,SPAAR
63979,2.364664842,FIGNL1
83643,2.362235080999999,CCDC3
25928,2.3481403495000004,SOSTDC1
10403,2.3379529275,NDC80
7306,2.3374954694999994,TYRP1
83879,2.330281180249999,CDCA7
1846,2.329197649500003,DUSP4
259266,2.32840370125,ASPM
55055,2.321974073,ZWILCH
100506649,2.3198457415,PXN-AS1
22995,2.2980212702500005,CEP152
23037,2.296209534499999,PDZD2
5608,2.28835765075,MAP2K6
230,2.2850964462500007,ALDOC
10998,2.2848413897500004,SLC27A5
6515,2.283333871249999,SLC2A3
29893,2.282170691750001,PSMC3IP
79980,2.234714918750001,DSN1
9180,2.232685611250001,OSMR
11151,2.23222995,CORO1A
10460,2.2301911932500005,TACC3
55722,2.2241110349999995,CEP72
84986,2.2135980364999996,ARHGAP19
9837,2.207605128000001,GINS1
2296,2.2055894927500006,FOXC1
144165,2.1991654665,PRICKLE1
7089,2.1975403169999996,TLE2
8613,2.1950520019999997,PLPP3
8309,2.1919280917500004,ACOX2
54892,2.1873195917499997,NCAPG2
7545,2.18606293925,ZIC1
2177,2.1826038824999996,FANCD2
9700,2.181574392,ESPL1
7112,2.177979122,TMPO
8519,2.1777501917500004,IFITM1
256691,2.177221531,MAMDC2
1031,2.1766106927499997,CDKN2C
113263,2.1681834367500006,GLCCI1
63922,2.1657335587499995,CHTF18
10491,2.162930879000001,CRTAP
57291,2.15234659225,DANCR
3148,2.151954482499999,HMGB2
11169,2.1464317005,WDHD1
79075,2.14372503375,DSCC1
55771,2.14185024975,PRR11
672,2.139757868250001,BRCA1
4774,2.1385939405,NFIA
995,2.1383227815000003,CDC25C
401548,2.1329872492499993,SNX30
23767,2.129053117499998,FLRT3
9865,2.1250900990000003,TRIL
4756,2.1229438514999996,NEO1
7425,2.115028124,VGF
388507,2.1113938557500003,ZNF788P
4038,2.1105050922500004,LRP4
10212,2.099338732249999,DDX39A
55732,2.09807971475,FIRRM
55010,2.0960402905000004,PARPBP
79968,2.0899330270000003,WDR76
9824,2.0837220707500004,ARHGAP11A
5723,2.0829756125000003,PSPH
7088,2.0791716620000003,TLE1
84293,2.07470383225,PRXL2A
1909,2.0739696285000004,EDNRA
147381,2.0730340629999997,CBLN2
129293,2.0721001400000003,TRABD2A
6240,2.0710674847499995,RRM1
100506311,2.06765566475,HOTAIRM1
55227,2.0671032160000005,LRRC1
201725,2.0668578387500007,C4orf46
5983,2.059297870499999,RFC3
25891,2.0589212762499995,PAMR1
9882,2.055546863249999,TBC1D4
29941,2.0546412685,PKN3
4605,2.05402177475,MYBL2
6117,2.0471850637500006,RPA1
29127,2.04390543425,RACGAP1
79180,2.0430805647499994,EFHD2
8364,2.041613272500001,H4C3
6405,2.0318708349999994,SEMA3F
55038,2.0283094230000005,CDCA4
699,2.0281942,BUB1
29785,2.02511753625,CYP2S1
161742,2.017442498250002,SPRED1
55353,2.0160040175000002,LAPTM4B
26040,2.0114765870000006,SETBP1
23171,2.010853567499999,GPD1L
139065,2.0104445865000002,SLITRK4
9232,2.006150599749999,PTTG1
27346,2.0020491812499985,TMEM97
9735,1.9988774935000002,KNTC1
147015,1.9952515592499998,DHRS13
5984,1.9922510327499996,RFC4
3326,1.98373971,HSP90AB1
5050,1.9832239077499993,PAFAH1B3
760,1.98028727175,CA2
132720,1.9801598604999988,FAM241A
348801,1.9776929832499999,LNP1
91057,1.9747947257499998,CCDC34
4005,1.9714420597500002,LMO2
55706,1.9708201504999998,NDC1
23025,1.9701037227500002,UNC13A
114805,1.9696282054999994,GALNT13
1164,1.9601696152500008,CKS2
79963,1.9571141892500004,ABCA11P
64943,1.9570342687500002,NT5DC2
4998,1.9544970335,ORC1
9833,1.9494354795,MELK
3087,1.9484950950000002,HHEX
10062,1.9466912662499998,NR1H3
55201,1.9460316192500002,MAP1S
30845,1.9434236950000017,EHD3
994,1.9414360570000007,CDC25B
6491,1.94058167675,STIL
84930,1.9380294504999993,MASTL
80319,1.9371392067500004,CXXC4
9353,1.9338771282499998,SLIT2
79589,1.9266130072499994,RNF128
8208,1.9249089072499999,CHAF1B
22893,1.9218442210000006,BAHD1
481,1.9148403280000004,ATP1B1
1407,1.9122052094999997,CRY1
407975,1.9111459127499995,MIR17HG
1032,1.9086039364999996,CDKN2D
163786,1.9034179797500004,SASS6
51690,1.8908097032499995,LSM7
23090,1.890680337,ZNF423
399473,1.8899267114999994,SPRED3
56339,1.888993245750001,METTL3
123688,1.8879141702500002,HYKK
255758,1.8849991382500004,DYNLT2B
6482,1.8842338605000002,ST3GAL1
29901,1.880030247249998,SAC3D1
79622,1.8795472130000004,SNRNP25
751071,1.8764630152500001,CSKMT
64785,1.8754154130000007,GINS3
64641,1.8703178485,EBF2
10714,1.8692048364999998,POLD3
84913,1.8686996909999998,ATOH8
4173,1.8684733589999993,MCM4
114044,1.8658933265000002,MCM3AP-AS1
83596,1.8617653872499993,BCL2L12
375061,1.8600338812500006,FAM89A
7546,1.8507472702500003,ZIC2
580,1.8499012484999993,BARD1
10082,1.8488146720000005,GPC6
4714,1.8473254982499991,NDUFB8
9585,1.8423870442499997,KIF20B
8864,1.83632891425,PER2
4188,1.8348335377500007,MDFI
151195,1.8345666529999995,CCNYL1
55329,1.8336748427499998,MNS1
7764,1.8323515854999997,ZNF217
79447,1.8319379922500003,PAGR1
23310,1.8288613424999998,NCAPD3
57544,1.8271684154999992,TXNDC16
1841,1.8231371925,DTYMK
7398,1.8189871317499993,USP1
100507303,1.8187444789999994,SNHG19
7490,1.8157249094999997,WT1
79683,1.8094877270000014,ZDHHC14
2719,1.8090864432499996,GPC3
1759,1.8063748187499997,DNM1
11138,1.8037932474999998,TBC1D8
4900,1.8025336539999994,NRGN
9355,1.8008052042499996,LHX2
1786,1.8000003804999984,DNMT1
54510,1.7977412249999993,PCDH18
25937,1.7969767015000002,WWTR1
54557,1.7886682712500006,SGTB
51329,1.7850457674999998,ARL6IP4
5827,1.7839937142499993,PXMP2
60468,1.7835070589999997,BACH2
343099,1.7803969647499995,CCDC18
50628,1.7802138175,GEMIN4
55572,1.7767213672500004,FOXRED1
10733,1.77079721475,PLK4
5156,1.7707148537500004,PDGFRA
1152,1.7645973275000006,CKB
7569,1.7636350629999997,ZNF182
3183,1.7619076104999998,HNRNPC
