antigen_class,P_available,mean_epitopes_if_used,mean_immunogenic,escape_hazard,specificity_risk,readiness,per_patient_discovery,tier
A1_somatic_mutanome,0.1266,1.14,0.142,0.7,0.03,0.8,1.0,"Clinical-Trial (platform, melanoma) / Theoretical (this tumour)"
A2_fusion_junction,0.0,0.0,0.0,0.06,0.01,0.35,1.0,Preclinical-Cell / Theoretical (fusion-contingent)
A3_cancer_testis,0.4003,2.0,0.18,0.425,0.06,0.85,0.2,Clinical-Trial (other sarcoma subtypes) / Theoretical (round-cell)
A4_lineage_programme,0.4259,1.71,0.103,0.15,0.125,0.6,0.2,"Preclinical-Animal / Clinical-Trial (Ewing, cell therapy)"
A5_noncanonical_ORF,0.6861,4.8,0.528,0.376,0.07,0.25,1.0,Preclinical-Cell / Mechanistic
A6_induced_derepressed,0.7538,6.79,0.475,0.675,0.15,0.4,0.6,Preclinical-Cell (viral mimicry) / Mechanistic
A7_DUX4_as_CTA,0.2869,0.72,0.065,0.07,0.035,0.2,0.5,Theoretical (driver-contingent; DUX4 also antagonises MHC-I)
